Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000           2.9679       2.9679       0.0000     0.0
0.0010           2.9684       2.8525       0.1160    26.4
0.0020           2.9678       2.5022       0.4656   106.0
0.0030           2.9650       1.9097       1.0553   240.1
0.0040           2.9588       1.0845       1.8744   426.5
0.0050           2.9373       0.1169       2.8204   641.8
0.0060           2.8805      -0.6806       3.5611   810.3
0.0070           2.8060      -0.6009       3.4069   775.2
0.0080           2.8632       1.0673       1.7958   408.6
0.0090           3.0897       2.9991       0.0906    20.6
0.0100           2.9790       2.1974       0.7815   177.8
0.0110           2.8050       0.0207       2.7844   633.6
0.0120           2.8424      -0.8097       3.6521   831.0
0.0130           2.9084      -0.3292       3.2375   736.7
0.0140           2.9411       0.6142       2.3268   529.5
0.0150           2.9517       1.5274       1.4243   324.1
0.0160           2.9531       2.2356       0.7175   163.3
0.0170           2.9516       2.7003       0.2514    57.2
0.0180           2.9513       2.9250       0.0263     6.0
0.0190           2.9515       2.9188       0.0327     7.4
0.0200           2.9516       2.6804       0.2712    61.7
0.0210           2.9519       2.2025       0.7494   170.5
0.0220           2.9488       1.4822       1.4666   333.7
0.0230           2.9350       0.5618       2.3732   540.0
0.0240           2.8967      -0.3720       3.2688   743.8
0.0250           2.8226      -0.8066       3.6292   825.8
0.0260           2.7873       0.1037       2.6836   610.6
0.0270           2.9713       2.2838       0.6874   156.4
0.0280           3.0609       2.9316       0.1293    29.4
0.0290           2.8327       0.9488       1.8839   428.7
0.0300           2.7914      -0.6384       3.4298   780.4
0.0310           2.8628      -0.6565       3.5193   800.8
0.0320           2.9129       0.1570       2.7560   627.1
0.0330           2.9319       1.1170       1.8149   413.0
0.0340           2.9361       1.9274       1.0087   229.5
0.0350           2.9357       2.5029       0.4328    98.5
0.0360           2.9358       2.8358       0.1000    22.8
0.0370           2.9355       2.9336       0.0019     0.4
0.0380           2.9359       2.8000       0.1359    30.9
0.0390           2.9375       2.4299       0.5076   115.5
0.0400           2.9357       1.8159       1.1198   254.8
0.0410           2.9275       0.9740       1.9536   444.5
0.0420           2.9031       0.0102       2.8930   658.3
0.0430           2.8475      -0.7304       3.5778   814.1
0.0440           2.7764      -0.5046       3.2810   746.6
0.0450           2.8529       1.2971       1.5558   354.0
0.0460           3.0674       3.0360       0.0314     7.1
0.0470           2.9222       1.9475       0.9747   221.8
0.0480           2.7707      -0.1493       2.9200   664.4
0.0490           2.8218      -0.8054       3.6272   825.3
0.0500           2.8891      -0.2462       3.1353   713.4
0.0510           2.9229       0.7049       2.2180   504.7
0.0520           2.9307       1.5982       1.3324   303.2
0.0530           2.9288       2.2782       0.6506   148.0
